x,y
1.000000,1.000000
1.007642,1.013338
1.015285,1.026675
1.022927,1.040013
1.030569,1.053350
1.038211,1.066688
1.045854,1.080025
1.053496,1.093363
1.061138,1.106701
1.068780,1.120038
1.076423,1.133376
1.084065,1.146713
1.091707,1.160051
1.099349,1.173388
1.106992,1.186726
1.114634,1.200064
1.122276,1.213401
1.129918,1.226739
1.137561,1.240076
1.145203,1.253414
1.152845,1.266751
1.160487,1.280089
1.168130,1.293427
1.175772,1.306764
1.183414,1.320102
1.191056,1.333439
1.198699,1.346777
1.206341,1.360114
1.213983,1.373452
1.221625,1.386790
1.229268,1.400127
1.236910,1.413465
1.244552,1.426802
1.252195,1.440140
1.259837,1.453477
1.267479,1.466815
1.275121,1.480153
1.282764,1.493490
1.290406,1.506828
1.298048,1.520165
1.305690,1.533503
1.313333,1.546840
1.320975,1.560178
1.328617,1.573516
1.336259,1.586853
1.343902,1.600191
1.351544,1.613528
1.359186,1.626866
1.366828,1.640203
1.374471,1.653541
1.382113,1.666879
1.389755,1.680216
1.397397,1.693554
1.405040,1.706891
1.412682,1.720229
1.420324,1.733566
1.427966,1.746904
1.435609,1.760242
1.443251,1.773579
1.450893,1.786917
1.458535,1.800254
1.466178,1.813592
1.473820,1.826929
1.481462,1.840267
1.489105,1.853605
1.496747,1.866942
1.504389,1.880280
1.512031,1.893617
1.519674,1.906955
1.527316,1.920292
1.534958,1.933630
1.542600,1.946967
1.550243,1.960305
1.557885,1.973643
1.565527,1.986980
1.573169,2.000318
1.580812,2.013655
1.588454,2.026993
1.596096,2.040330
1.603738,2.053668
1.611381,2.067006
1.619023,2.080343
1.626665,2.093681
1.634307,2.107018
1.641950,2.120356
1.649592,2.133693
1.657234,2.147031
1.664876,2.160369
1.672519,2.173706
1.680161,2.187044
1.687803,2.200381
1.695446,2.213719
1.703088,2.227056
1.710730,2.240394
1.718372,2.253732
1.726015,2.267069
1.733657,2.280407
1.741299,2.293744
1.748941,2.307082
1.756584,2.320419
1.764226,2.333757
1.771868,2.347095
1.779510,2.360432
1.787153,2.373770
1.794795,2.387107
1.802437,2.400445
1.810079,2.413782
1.817722,2.427120
1.825364,2.440458
1.833006,2.453795
1.840648,2.467133
1.848291,2.480470
1.855933,2.493808
1.863575,2.507145
1.871217,2.520483
1.878860,2.533821
1.886502,2.547158
1.894144,2.560496
1.901786,2.573833
1.909429,2.587171
1.917071,2.600508
1.924713,2.613846
1.932356,2.627184
1.939998,2.640521
1.947640,2.653859
1.955282,2.667196
1.962925,2.680534
1.970567,2.693871
1.978209,2.707209
1.985851,2.720547
1.993494,2.733884
2.001136,2.747222
2.008778,2.760559
2.016420,2.773897
2.024063,2.787234
2.031705,2.800572
2.039347,2.813910
2.046989,2.827247
2.054632,2.840585
2.062274,2.853922
2.069916,2.867260
2.077558,2.880597
2.085201,2.893935
2.092843,2.907273
2.100485,2.920610
2.108127,2.933948
2.115770,2.947285
2.123412,2.960623
2.131054,2.973960
2.138696,2.987298
2.146339,3.000636
2.153981,3.013973
2.161623,3.027311
2.169266,3.040648
2.176908,3.053986
2.184550,3.067323
2.192192,3.080661
2.199835,3.093999
2.207477,3.107336
2.215119,3.120674
2.222761,3.134011
2.230404,3.147349
2.238046,3.160686
2.245688,3.174024
2.253330,3.187362
2.260973,3.200699
2.268615,3.214037
2.276257,3.227374
2.283899,3.240712
2.291542,3.254049
2.299184,3.267387
2.306826,3.280725
2.314468,3.294062
2.322111,3.307400
2.329753,3.320737
2.337395,3.334075
2.345037,3.347412
2.352680,3.360750
2.360322,3.374088
2.367964,3.387425
2.375606,3.400763
2.383249,3.414100
2.390891,3.427438
2.398533,3.440775
2.406176,3.454113
2.399582,3.467999
2.392988,3.481885
2.386394,3.495770
2.379800,3.509656
2.373206,3.523542
2.366613,3.537428
2.360019,3.551314
2.353425,3.565200
2.346831,3.579085
2.340237,3.592971
2.333643,3.606857
2.327050,3.620743
2.320456,3.634629
2.313862,3.648515
2.307268,3.662400
2.300674,3.676286
2.294080,3.690172
2.287487,3.704058
2.280893,3.717944
2.274299,3.731830
2.267705,3.745715
2.261111,3.759601
2.254518,3.773487
2.247924,3.787373
2.241330,3.801259
2.234736,3.815145
2.228142,3.829030
2.221548,3.842916
2.214955,3.856802
2.208361,3.870688
2.201767,3.884574
2.195173,3.898460
2.188579,3.912345
2.181985,3.926231
2.175392,3.940117
2.168798,3.954003
2.162204,3.967889
2.155610,3.981775
2.149016,3.995660
2.142422,4.009546
2.135829,4.023432
2.129235,4.037318
2.122641,4.051204
2.116047,4.065090
2.109453,4.078975
2.102860,4.092861
2.096266,4.106747
2.089672,4.120633
2.083078,4.134519
2.076484,4.148405
2.069890,4.162290
2.063297,4.176176
2.056703,4.190062
2.050109,4.203948
2.043515,4.217834
2.036921,4.231720
2.030327,4.245605
2.023734,4.259491
2.017140,4.273377
2.010546,4.287263
2.003952,4.301149
1.997358,4.315035
1.990764,4.328920
1.984171,4.342806
1.977577,4.356692
1.970983,4.370578
1.964389,4.384464
1.957795,4.398350
1.951202,4.412235
1.944608,4.426121
1.938014,4.440007
1.931420,4.453893
1.924826,4.467779
1.918232,4.481665
1.911639,4.495550
1.905045,4.509436
1.898451,4.523322
1.891857,4.537208
1.885263,4.551094
1.878669,4.564980
1.872076,4.578865
1.865482,4.592751
1.858888,4.606637
1.852294,4.620523
1.845700,4.634409
1.839106,4.648295
1.832513,4.662180
1.825919,4.676066
1.819325,4.689952
1.812731,4.703838
1.806137,4.717724
1.799544,4.731610
1.792950,4.745495
1.786356,4.759381
1.779762,4.773267
1.773168,4.787153
1.766574,4.801039
1.759981,4.814925
1.753387,4.828810
1.746793,4.842696
1.740199,4.856582
1.733605,4.870468
1.727011,4.884354
1.720418,4.898240
1.713824,4.912125
1.707230,4.926011
1.700636,4.939897
1.694042,4.953783
1.687448,4.967669
1.680855,4.981555
1.674261,4.995440
1.667667,5.009326
1.661073,5.023212
